序号,新闻内容
0,12月29日，光电学院召开教职工党支部年终交流会，各支部书记汇报一年来支部建设、续航项目推进等情况。 
1,12月29日，国家管网集团联合管道有限责任公司西部分公司--电气自动化技术培训班结业典礼在自动化学院举办。学院党委书记张均强、副院长邱根，国家管网集团联合管道有限责任公司西部分公司主管工程师李佳富、授课导师代表、36名学员出席典礼。
2,12月28日，深圳高研院召开党委理论学习中心组（扩大）学习会，学习习近平总书记在纪念毛泽东同志诞辰130周年座谈会上的重要讲话精神、重要文章《加强基础研究 实现高水平科技自立自强》，并观看学习专题节目《榜样8》。
3,12月27日-28日，中国高等教育学会教育基金工作研究分会2023年学术年会在复旦大学召开，我校教育基金会负责人参加分会常务理事会议及圆桌论坛。
4,近日，学校“形势与政策”课面向全校本科生开设以“深刻把握教育、科技、人才在全面建设社会主义现代化国家中的地位作用”为主题的专题教学，校长曾勇，校领导朱宏、申小蓉、胡皓全、胡俊、孔令讲、罗光春登上讲台为同学们授课，引导大学生紧跟党和国家发展步伐，坚定不移听党话、跟党走，深刻领悟“两个确立”的决定性意义，进一步增强“四个意识”、坚定“四个自信”、做到“两个维护”，努力成为担当民族复兴大任的时代新人。
5,12月28日-29日，机电学院、资环学院、计算机（网安）学院、生命学院分别召开二级纪委专题工作会议。集体学习了《中国共产党纪律处分条例》，总结2023年二级纪检工作的开展情况，审议2023年纪委工作总结报告，研讨2024年工作思路及举措。计算机（网安）学院还学习了习近平总书记关于严肃党内政治生活的重要讲话和重要指示批示精神。
6,12月28日，由教师发展中心主办、信通学院承办的第二期面向新工科教育改革的骨干教师教学教研能力提升研修班邀请国家教学名师李晓峰教授作题为“国外工程教育改革的典型案例与数字和AI技术对工程教育的影响”的专题讲座。
7,12月28日，机关党委、学校办公室联合举办第三期“办公室系统工作培训”主题沙龙活动，党委学工部、科研院、国资处、国际处、后勤保障部工作人员分别围绕一站式服务大厅建设作经验分享，机关党委副书记谭涛、学校办公室副主任唐灿分别介绍了一站式服务大厅建设的初心使命、建设历程、运行机制及运行成效，参会人员围绕一站式服务工作重点难点、下一步工作等进行了深入交流。
8,12月28日，党委统战部负责人赴高新区党群工作部统战工作处交流洽谈，双方就加强统战领域校地合作等进行了深入交流。
9,12月28日，校医院党总支召开廉洁教育工作会，邀请学校监督检查室主任、监察处副处长吴钊阳作题为“持续强化纪律规矩意识，营造风清气正的干事创业氛围”的专题报告，观看廉洁警示教育片《医者之鉴：折翼的白衣天使》。
10,12月27日，经管学院本科生第二党支部前往泸州老窖成都办事处与泸州老窖股份有限公司机关第一党支部开展支部结对共建，学院党委书记李钰为党建共建基地授牌，副书记潘杨介绍学院情况，20余人参加活动。
11,12月27日，中国联通政企客户事业群副总裁韩卓辰、海南省分公司副总经理甘泉一行到访格拉斯哥海南学院，双方就进一步加强校企合作、提高人才培养质量、自贸港建设和高新技术产业发展等进行了深入交流。
12,12月27日，集电学院举办2023年“陈星弼·集电卓越学生”答辩会，本硕博共16名同学从组织管理、学术科研、科技竞赛、创新创业、社会实践、公益服务、文艺体育等方面进行了成果展示。
13,近日，工业和信息化部中小企业发展促进中心牵头主办的全国首届企校协同创新大赛全国总决赛在清华大学举行，集电学院微波介质与集成器件团队指导的“高性能相变开关创新者”参赛小组荣获全国总决赛一等奖。
14,12月28日，人力资源部会同体育部、大学生文化素质教育中心开展艺体类教师座谈会，人力资源部部长李会勇、体育部党总支书记王勋、大学生文化素质教育中心主任韩蕾及艺体类教师代表参加会议，就艺体类教师职称晋升、职业发展等问题进行了交流。
15,12月27日，由教师发展中心主办、航空航天学院承办的“名师讲堂”，邀请加拿大工程院院士、约克大学朱正宏教授作题为“空间绳系动力学与控制”的学术报告。
16,12月27日，经管学院举行实习实践基地授牌仪式暨数字金融专题讲座，学院党委书记李钰致辞，副院长李强、党委副书记潘杨为6家实习基地授牌，兴业银行成都分行副行长黄飞、四川富润企业重组投资有限责任公司副总经理倪莎分别作题为“我国银行业的发展与展望”“高校校办企业的发展与改革”的讲座。
17,12月27日，集电学院开展“访企拓岗”活动，走访芯行纪科技有限公司和行芯科技有限公司，围绕科研合作、人才培养等进行了深入交流。
18,12月27日，格拉斯哥海南学院招生工作组赴海南省农垦中学、海南中学开展科普讲座，邀请物理学院齐静波教授作题为“我们如何开始认识这个世界”的分享。
19,12月27日，基础院举办第十四期“潜研畅谈”讲座，邀请彭翃杰教授作题为“Embrace Minority：一个‘少数派’的多元科研故事”的分享。
20,12月27日，由中央宣传部、全国总工会、共青团中央、全国妇联指导，共青团四川省委主办，校团委承办的“强国复兴有我”百姓宣讲（四川专场）活动在清水河校区举行。6名优秀代表与我校近300名青年学生进行了分享交流。
21,12月27日，学报编辑部党支部组织专题学习，学习习近平总书记教师节重要指示精神、来川视察重要指示精神、在纪念毛泽东同志诞辰130周年座谈会上的重要讲话精神。
22,12月27日，经管学院邀请中国航天科技集团有限公司第一研究院（中国运载火箭技术研究院）首席总师李明华作题为“航天系统工程实践与系统思维”的学术报告。
